run,type,module,name,attrname,attrvalue,value
General-65-20190306-12:45:36-5553,param,,,*.annotations.draw,true,
General-65-20190306-12:45:36-5553,param,,,*.manager.updateInterval,1s,
General-65-20190306-12:45:36-5553,param,,,*.manager.host,"""localhost""",
General-65-20190306-12:45:36-5553,param,,,*.manager.port,9999,
General-65-20190306-12:45:36-5553,param,,,*.manager.autoShutdown,true,
General-65-20190306-12:45:36-5553,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-65-20190306-12:45:36-5553,param,,,*.rsu[*].appl.headerLength,80 bit,
General-65-20190306-12:45:36-5553,param,,,*.rsu[*].appl.sendBeacons,false,
General-65-20190306-12:45:36-5553,param,,,*.rsu[*].appl.dataOnSch,false,
General-65-20190306-12:45:36-5553,param,,,*.rsu[*].appl.beaconInterval,1s,
General-65-20190306-12:45:36-5553,param,,,*.connectionManager.sendDirect,true,
General-65-20190306-12:45:36-5553,param,,,*.connectionManager.maxInterfDist,2600m,
General-65-20190306-12:45:36-5553,param,,,*.connectionManager.drawMaxIntfDist,false,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-65-20190306-12:45:36-5553,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-65-20190306-12:45:36-5553,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-65-20190306-12:45:36-5553,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-65-20190306-12:45:36-5553,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-65-20190306-12:45:36-5553,param,,,*.node[*].appl.headerLength,80 bit,
General-65-20190306-12:45:36-5553,param,,,*.node[*].appl.sendBeacons,false,
General-65-20190306-12:45:36-5553,param,,,*.node[*].appl.dataOnSch,false,
General-65-20190306-12:45:36-5553,param,,,*.node[*].appl.beaconInterval,1s,
General-65-20190306-12:45:36-5553,param,,,*.node[*].veinsmobilityType.debug,true,
General-65-20190306-12:45:36-5553,param,,,*.node[*].veinsmobility.x,-1,
General-65-20190306-12:45:36-5553,param,,,*.node[*].veinsmobility.y,-1,
General-65-20190306-12:45:36-5553,param,,,*.node[*].veinsmobility.z,1.895,
General-65-20190306-12:45:36-5553,param,,,*.rsu[0].mobility.x,500,
General-65-20190306-12:45:36-5553,param,,,*.rsu[0].mobility.y,500,
General-65-20190306-12:45:36-5553,param,,,*.rsu[0].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].mobility.x,330,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].mobility.y,300,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[2].mobility.x,390.79,
General-65-20190306-12:45:36-5553,param,,,*.rsu[2].mobility.y,206.97,
General-65-20190306-12:45:36-5553,param,,,*.rsu[2].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[3].mobility.x,410,
General-65-20190306-12:45:36-5553,param,,,*.rsu[3].mobility.y,450,
General-65-20190306-12:45:36-5553,param,,,*.rsu[3].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[4].mobility.x,390,
General-65-20190306-12:45:36-5553,param,,,*.rsu[4].mobility.y,300,
General-65-20190306-12:45:36-5553,param,,,*.rsu[4].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[5].mobility.x,350,
General-65-20190306-12:45:36-5553,param,,,*.rsu[5].mobility.y,400,
General-65-20190306-12:45:36-5553,param,,,*.rsu[5].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[6].mobility.x,450,
General-65-20190306-12:45:36-5553,param,,,*.rsu[6].mobility.y,300,
General-65-20190306-12:45:36-5553,param,,,*.rsu[6].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[7].mobility.x,380,
General-65-20190306-12:45:36-5553,param,,,*.rsu[7].mobility.y,380,
General-65-20190306-12:45:36-5553,param,,,*.rsu[7].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[8].mobility.x,390,
General-65-20190306-12:45:36-5553,param,,,*.rsu[8].mobility.y,390,
General-65-20190306-12:45:36-5553,param,,,*.rsu[8].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[9].mobility.x,350,
General-65-20190306-12:45:36-5553,param,,,*.rsu[9].mobility.y,350,
General-65-20190306-12:45:36-5553,param,,,*.rsu[9].mobility.z,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[0].applType,"""RandomForestApp.NoAppCar""",
General-65-20190306-12:45:36-5553,param,,,*.rsu[2..9].applType,"""RandomForestApp.VirtualServer""",
General-65-20190306-12:45:36-5553,param,,,*.rsu[2].appl.computationPower,9.8,
General-65-20190306-12:45:36-5553,param,,,*.rsu[3].appl.computationPower,13.8,
General-65-20190306-12:45:36-5553,param,,,*.rsu[4].appl.computationPower,2.93,
General-65-20190306-12:45:36-5553,param,,,*.rsu[5].appl.computationPower,43.1,
General-65-20190306-12:45:36-5553,param,,,*.rsu[6].appl.computationPower,25.8,
General-65-20190306-12:45:36-5553,param,,,*.rsu[7].appl.computationPower,13.4,
General-65-20190306-12:45:36-5553,param,,,*.rsu[8].appl.computationPower,20.9,
General-65-20190306-12:45:36-5553,param,,,*.rsu[9].appl.computationPower,38.2,
General-65-20190306-12:45:36-5553,param,,,*.rsu[2..9].appl.loadBalancerId,2,
General-65-20190306-12:45:36-5553,param,,,*.rsu[2].appl.id,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[3].appl.id,1,
General-65-20190306-12:45:36-5553,param,,,*.rsu[4].appl.id,2,
General-65-20190306-12:45:36-5553,param,,,*.rsu[5].appl.id,3,
General-65-20190306-12:45:36-5553,param,,,*.rsu[6].appl.id,4,
General-65-20190306-12:45:36-5553,param,,,*.rsu[7].appl.id,5,
General-65-20190306-12:45:36-5553,param,,,*.rsu[8].appl.id,6,
General-65-20190306-12:45:36-5553,param,,,*.rsu[9].appl.id,7,
General-65-20190306-12:45:36-5553,param,,,*.rsu[2..9].appl.penaltyInterval,10,
General-65-20190306-12:45:36-5553,param,,,*.rsu[2..9].appl.expectedReliability,.7,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].applType,"""RandomForestApp.LoadBalancer""",
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].appl.id,2,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].appl.upperBound,7,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].appl.lowerBound,0,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].appl.timeOutIntervals,3,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].appl.expectedComputationWork,150,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].appl.replicationFactor,2,
General-65-20190306-12:45:36-5553,param,,,*.rsu[1].appl.reputationOn,false,
General-61-20190306-12:45:27-5553,runattr,,,configname,General,
General-61-20190306-12:45:27-5553,runattr,,,datetime,20190306-12:45:27,
General-61-20190306-12:45:27-5553,runattr,,,experiment,General,
General-61-20190306-12:45:27-5553,runattr,,,inifile,omnetpp.ini,
General-61-20190306-12:45:27-5553,runattr,,,iterationvars,"$0=7, $1=.7, $2=50, $3=2",
General-61-20190306-12:45:27-5553,runattr,,,iterationvarsf,"7,.7,50,2-",
General-61-20190306-12:45:27-5553,runattr,,,measurement,"$0=7, $1=.7, $2=50, $3=2",
General-61-20190306-12:45:27-5553,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-61-20190306-12:45:27-5553,runattr,,,processid,5553,
General-61-20190306-12:45:27-5553,runattr,,,repetition,0,
General-61-20190306-12:45:27-5553,runattr,,,replication,#0,
General-61-20190306-12:45:27-5553,runattr,,,resultdir,results,
General-61-20190306-12:45:27-5553,runattr,,,runnumber,61,
General-61-20190306-12:45:27-5553,runattr,,,seedset,61,
General-61-20190306-12:45:27-5553,param,,,MCPasubioScenario.numRsu,7,
General-61-20190306-12:45:27-5553,param,,,**.debug,false,
General-61-20190306-12:45:27-5553,param,,,**.coreDebug,false,
General-61-20190306-12:45:27-5553,param,,,*.playgroundSizeX,3000m,
General-61-20190306-12:45:27-5553,param,,,*.playgroundSizeY,3000m,
General-61-20190306-12:45:27-5553,param,,,*.playgroundSizeZ,100m,
General-61-20190306-12:45:27-5553,param,,,*.annotations.draw,true,
General-61-20190306-12:45:27-5553,param,,,*.manager.updateInterval,1s,
General-61-20190306-12:45:27-5553,param,,,*.manager.host,"""localhost""",
General-61-20190306-12:45:27-5553,param,,,*.manager.port,9999,
General-61-20190306-12:45:27-5553,param,,,*.manager.autoShutdown,true,
General-61-20190306-12:45:27-5553,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-61-20190306-12:45:27-5553,param,,,*.rsu[*].appl.headerLength,80 bit,
General-61-20190306-12:45:27-5553,param,,,*.rsu[*].appl.sendBeacons,false,
General-61-20190306-12:45:27-5553,param,,,*.rsu[*].appl.dataOnSch,false,
General-61-20190306-12:45:27-5553,param,,,*.rsu[*].appl.beaconInterval,1s,
General-61-20190306-12:45:27-5553,param,,,*.connectionManager.sendDirect,true,
General-61-20190306-12:45:27-5553,param,,,*.connectionManager.maxInterfDist,2600m,
General-61-20190306-12:45:27-5553,param,,,*.connectionManager.drawMaxIntfDist,false,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-61-20190306-12:45:27-5553,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-61-20190306-12:45:27-5553,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-61-20190306-12:45:27-5553,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-61-20190306-12:45:27-5553,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-61-20190306-12:45:27-5553,param,,,*.node[*].appl.headerLength,80 bit,
General-61-20190306-12:45:27-5553,param,,,*.node[*].appl.sendBeacons,false,
General-61-20190306-12:45:27-5553,param,,,*.node[*].appl.dataOnSch,false,
General-61-20190306-12:45:27-5553,param,,,*.node[*].appl.beaconInterval,1s,
General-61-20190306-12:45:27-5553,param,,,*.node[*].veinsmobilityType.debug,true,
General-61-20190306-12:45:27-5553,param,,,*.node[*].veinsmobility.x,-1,
General-61-20190306-12:45:27-5553,param,,,*.node[*].veinsmobility.y,-1,
General-61-20190306-12:45:27-5553,param,,,*.node[*].veinsmobility.z,1.895,
General-61-20190306-12:45:27-5553,param,,,*.rsu[0].mobility.x,500,
General-61-20190306-12:45:27-5553,param,,,*.rsu[0].mobility.y,500,
General-61-20190306-12:45:27-5553,param,,,*.rsu[0].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].mobility.x,330,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].mobility.y,300,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[2].mobility.x,390.79,
General-61-20190306-12:45:27-5553,param,,,*.rsu[2].mobility.y,206.97,
General-61-20190306-12:45:27-5553,param,,,*.rsu[2].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[3].mobility.x,410,
General-61-20190306-12:45:27-5553,param,,,*.rsu[3].mobility.y,450,
General-61-20190306-12:45:27-5553,param,,,*.rsu[3].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[4].mobility.x,390,
General-61-20190306-12:45:27-5553,param,,,*.rsu[4].mobility.y,300,
General-61-20190306-12:45:27-5553,param,,,*.rsu[4].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[5].mobility.x,350,
General-61-20190306-12:45:27-5553,param,,,*.rsu[5].mobility.y,400,
General-61-20190306-12:45:27-5553,param,,,*.rsu[5].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[6].mobility.x,450,
General-61-20190306-12:45:27-5553,param,,,*.rsu[6].mobility.y,300,
General-61-20190306-12:45:27-5553,param,,,*.rsu[6].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[7].mobility.x,380,
General-61-20190306-12:45:27-5553,param,,,*.rsu[7].mobility.y,380,
General-61-20190306-12:45:27-5553,param,,,*.rsu[7].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[8].mobility.x,390,
General-61-20190306-12:45:27-5553,param,,,*.rsu[8].mobility.y,390,
General-61-20190306-12:45:27-5553,param,,,*.rsu[8].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[9].mobility.x,350,
General-61-20190306-12:45:27-5553,param,,,*.rsu[9].mobility.y,350,
General-61-20190306-12:45:27-5553,param,,,*.rsu[9].mobility.z,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[0].applType,"""RandomForestApp.NoAppCar""",
General-61-20190306-12:45:27-5553,param,,,*.rsu[2..9].applType,"""RandomForestApp.VirtualServer""",
General-61-20190306-12:45:27-5553,param,,,*.rsu[2].appl.computationPower,9.8,
General-61-20190306-12:45:27-5553,param,,,*.rsu[3].appl.computationPower,13.8,
General-61-20190306-12:45:27-5553,param,,,*.rsu[4].appl.computationPower,2.93,
General-61-20190306-12:45:27-5553,param,,,*.rsu[5].appl.computationPower,43.1,
General-61-20190306-12:45:27-5553,param,,,*.rsu[6].appl.computationPower,25.8,
General-61-20190306-12:45:27-5553,param,,,*.rsu[7].appl.computationPower,13.4,
General-61-20190306-12:45:27-5553,param,,,*.rsu[8].appl.computationPower,20.9,
General-61-20190306-12:45:27-5553,param,,,*.rsu[9].appl.computationPower,38.2,
General-61-20190306-12:45:27-5553,param,,,*.rsu[2..9].appl.loadBalancerId,2,
General-61-20190306-12:45:27-5553,param,,,*.rsu[2].appl.id,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[3].appl.id,1,
General-61-20190306-12:45:27-5553,param,,,*.rsu[4].appl.id,2,
General-61-20190306-12:45:27-5553,param,,,*.rsu[5].appl.id,3,
General-61-20190306-12:45:27-5553,param,,,*.rsu[6].appl.id,4,
General-61-20190306-12:45:27-5553,param,,,*.rsu[7].appl.id,5,
General-61-20190306-12:45:27-5553,param,,,*.rsu[8].appl.id,6,
General-61-20190306-12:45:27-5553,param,,,*.rsu[9].appl.id,7,
General-61-20190306-12:45:27-5553,param,,,*.rsu[2..9].appl.penaltyInterval,10,
General-61-20190306-12:45:27-5553,param,,,*.rsu[2..9].appl.expectedReliability,.7,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].applType,"""RandomForestApp.LoadBalancer""",
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].appl.id,2,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].appl.upperBound,7,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].appl.lowerBound,0,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].appl.timeOutIntervals,3,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].appl.expectedComputationWork,50,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].appl.replicationFactor,2,
General-61-20190306-12:45:27-5553,param,,,*.rsu[1].appl.reputationOn,false,
General-68-20190306-12:45:44-5553,runattr,,,configname,General,
General-68-20190306-12:45:44-5553,runattr,,,datetime,20190306-12:45:44,
General-68-20190306-12:45:44-5553,runattr,,,experiment,General,
General-68-20190306-12:45:44-5553,runattr,,,inifile,omnetpp.ini,
General-68-20190306-12:45:44-5553,runattr,,,iterationvars,"$0=7, $1=.9, $2=100, $3=1",
General-68-20190306-12:45:44-5553,runattr,,,iterationvarsf,"7,.9,100,1-",
General-68-20190306-12:45:44-5553,runattr,,,measurement,"$0=7, $1=.9, $2=100, $3=1",
General-68-20190306-12:45:44-5553,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-68-20190306-12:45:44-5553,runattr,,,processid,5553,
General-68-20190306-12:45:44-5553,runattr,,,repetition,0,
General-68-20190306-12:45:44-5553,runattr,,,replication,#0,
General-68-20190306-12:45:44-5553,runattr,,,resultdir,results,
General-68-20190306-12:45:44-5553,runattr,,,runnumber,68,
General-68-20190306-12:45:44-5553,runattr,,,seedset,68,
General-68-20190306-12:45:44-5553,param,,,MCPasubioScenario.numRsu,7,
General-68-20190306-12:45:44-5553,param,,,**.debug,false,
General-68-20190306-12:45:44-5553,param,,,**.coreDebug,false,
General-68-20190306-12:45:44-5553,param,,,*.playgroundSizeX,3000m,
General-68-20190306-12:45:44-5553,param,,,*.playgroundSizeY,3000m,
General-68-20190306-12:45:44-5553,param,,,*.playgroundSizeZ,100m,
General-68-20190306-12:45:44-5553,param,,,*.annotations.draw,true,
General-68-20190306-12:45:44-5553,param,,,*.manager.updateInterval,1s,
General-68-20190306-12:45:44-5553,param,,,*.manager.host,"""localhost""",
General-68-20190306-12:45:44-5553,param,,,*.manager.port,9999,
General-68-20190306-12:45:44-5553,param,,,*.manager.autoShutdown,true,
General-68-20190306-12:45:44-5553,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-68-20190306-12:45:44-5553,param,,,*.rsu[*].appl.headerLength,80 bit,
General-68-20190306-12:45:44-5553,param,,,*.rsu[*].appl.sendBeacons,false,
General-68-20190306-12:45:44-5553,param,,,*.rsu[*].appl.dataOnSch,false,
General-68-20190306-12:45:44-5553,param,,,*.rsu[*].appl.beaconInterval,1s,
General-68-20190306-12:45:44-5553,param,,,*.connectionManager.sendDirect,true,
General-68-20190306-12:45:44-5553,param,,,*.connectionManager.maxInterfDist,2600m,
General-68-20190306-12:45:44-5553,param,,,*.connectionManager.drawMaxIntfDist,false,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-68-20190306-12:45:44-5553,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-68-20190306-12:45:44-5553,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-68-20190306-12:45:44-5553,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-68-20190306-12:45:44-5553,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-68-20190306-12:45:44-5553,param,,,*.node[*].appl.headerLength,80 bit,
General-68-20190306-12:45:44-5553,param,,,*.node[*].appl.sendBeacons,false,
General-68-20190306-12:45:44-5553,param,,,*.node[*].appl.dataOnSch,false,
General-68-20190306-12:45:44-5553,param,,,*.node[*].appl.beaconInterval,1s,
General-68-20190306-12:45:44-5553,param,,,*.node[*].veinsmobilityType.debug,true,
General-68-20190306-12:45:44-5553,param,,,*.node[*].veinsmobility.x,-1,
General-68-20190306-12:45:44-5553,param,,,*.node[*].veinsmobility.y,-1,
General-68-20190306-12:45:44-5553,param,,,*.node[*].veinsmobility.z,1.895,
General-68-20190306-12:45:44-5553,param,,,*.rsu[0].mobility.x,500,
General-68-20190306-12:45:44-5553,param,,,*.rsu[0].mobility.y,500,
General-68-20190306-12:45:44-5553,param,,,*.rsu[0].mobility.z,0,
General-68-20190306-12:45:44-5553,param,,,*.rsu[1].mobility.x,330,
General-68-20190306-12:45:44-5553,param,,,*.rsu[1].mobility.y,300,
General-68-20190306-12:45:44-5553,param,,,*.rsu[1].mobility.z,0,
General-68-20190306-12:45:44-5553,param,,,*.rsu[2].mobility.x,390.79,
General-68-20190306-12:45:44-5553,param,,,*.rsu[2].mobility.y,206.97,
General-68-20190306-12:45:44-5553,param,,,*.rsu[2].mobility.z,0,
General-68-20190306-12:45:44-5553,param,,,*.rsu[3].mobility.x,410,
General-68-20190306-12:45:44-5553,param,,,*.rsu[3].mobility.y,450,
General-68-20190306-12:45:44-5553,param,,,*.rsu[3].mobility.z,0,
General-68-20190306-12:45:44-5553,param,,,*.rsu[4].mobility.x,390,
General-68-20190306-12:45:44-5553,param,,,*.rsu[4].mobility.y,300,
